gyrx1,gyry1,gyrz1,accx1,accy1,accz1,gyrx2,gyry2,gyrz2,accx2,accy2,accz2
-1,-41,19,-12.570605278015137,-5.962304592132568,0.6029297113418579,41,21,20,-13.341015815734863,4.349707126617432,-0.18662109971046448
-25,20,7,-12.001172065734863,0.612500011920929,0.06220703199505806,-2,29,7,-11.235547065734863,4.435840129852295,-4.320996284484863
-55,26,1,-9.723437309265137,3.8329102993011475,3.694140672683716,-38,47,-8,-8.27353572845459,3.8807618618011475,-5.397656440734863
21,-6,-18,-6.96240234375,0.775195300579071,4.938281536102295,-71,53,-17,-6.9384765625,3.2108399868011475,-2.6844727993011475
14,-5,-30,-9.029589653015137,0.88525390625,0.05742187798023224,-25,22,-25,-7.498340129852295,0.9378906488418579,0.07177734375
5,-6,-22,-9.723437309265137,1.655664086341858,0.7847656607627869,31,9,-19,-8.508008003234863,4.206152439117432,-1.65087890625
13,-6,3,-9.76171875,4.938281536102295,1.4259766340255737,10,7,0,-8.91953182220459,5.555566310882568,-2.8902344703674316
5,-6,0,-8.330957412719727,1.263281226158142,0.59814453125,4,10,17,-8.283105850219727,4.627246379852295,-3.076855421066284
6,1,16,-8.019922256469727,0.631640613079071,0.0,5,15,25,-8.005566596984863,3.1629884243011475,-2.32080078125
5,-6,1,-9.484179496765137,1.244140625,1.3015625476837158,17,4,9,-9.465039253234863,1.8662109375,-1.1627930402755737
25,27,-18,-10.33115291595459,0.03828125074505806,0.0,26,-10,-18,-10.30722713470459,3.167773485183716,-2.9620118141174316
6,-21,1,-19.37031364440918,2.574414014816284,4.900000095367432,7,2,-20,-9.173144340515137,3.9668946266174316,-3.51708984375
-39,1,0,-8.5654296875,0.01914062537252903,0.3062500059604645,-34,17,-20,-8.49365234375,3.8329102993011475,-3.1869142055511475
-40,-6,4,-8.551074028015137,1.2537109851837158,0.07656250149011612,-8,7,-7,-8.287890434265137,3.7707033157348633,-1.703515648841858
-54,-44,7,-8.53671932220459,0.7369140982627869,0.1435546875,0,-4,-2,-8.54150390625,4.440625190734863,-2.383007764816284
